Layer,Parameter,Weight
Layer 0,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 0,Parameter 1,[0.4031271]
Layer 0,Parameter 2,[[-0.68602014]]
Layer 0,Parameter 3,[-0.6740458]
Layer 1,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 1,Parameter 1,[0.4031271]
Layer 1,Parameter 2,[[-0.68602014]]
Layer 1,Parameter 3,[-0.6740458]
Layer 2,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2,Parameter 1,[0.4031271]
Layer 2,Parameter 2,[[-0.68602014]]
Layer 2,Parameter 3,[-0.6740458]
Layer 3,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 3,Parameter 1,[0.4031271]
Layer 3,Parameter 2,[[-0.68602014]]
Layer 3,Parameter 3,[-0.6740458]
Layer 4,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 4,Parameter 1,[0.4031271]
Layer 4,Parameter 2,[[-0.68602014]]
Layer 4,Parameter 3,[-0.6740458]
Layer 5,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 5,Parameter 1,[0.4031271]
Layer 5,Parameter 2,[[-0.68602014]]
Layer 5,Parameter 3,[-0.6740458]
Layer 6,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 6,Parameter 1,[0.4031271]
Layer 6,Parameter 2,[[-0.68602014]]
Layer 6,Parameter 3,[-0.6740458]
Layer 7,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 7,Parameter 1,[0.4031271]
Layer 7,Parameter 2,[[-0.68602014]]
Layer 7,Parameter 3,[-0.6740458]
Layer 8,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 8,Parameter 1,[0.4031271]
Layer 8,Parameter 2,[[-0.68602014]]
Layer 8,Parameter 3,[-0.6740458]
Layer 9,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 9,Parameter 1,[0.4031271]
Layer 9,Parameter 2,[[-0.68602014]]
Layer 9,Parameter 3,[-0.6740458]
Layer 10,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 10,Parameter 1,[0.4031271]
Layer 10,Parameter 2,[[-0.68602014]]
Layer 10,Parameter 3,[-0.6740458]
Layer 11,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 11,Parameter 1,[0.4031271]
Layer 11,Parameter 2,[[-0.68602014]]
Layer 11,Parameter 3,[-0.6740458]
Layer 12,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 12,Parameter 1,[0.4031271]
Layer 12,Parameter 2,[[-0.68602014]]
Layer 12,Parameter 3,[-0.6740458]
Layer 13,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 13,Parameter 1,[0.4031271]
Layer 13,Parameter 2,[[-0.68602014]]
Layer 13,Parameter 3,[-0.6740458]
Layer 14,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 14,Parameter 1,[0.4031271]
Layer 14,Parameter 2,[[-0.68602014]]
Layer 14,Parameter 3,[-0.6740458]
Layer 15,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 15,Parameter 1,[0.4031271]
Layer 15,Parameter 2,[[-0.68602014]]
Layer 15,Parameter 3,[-0.6740458]
Layer 16,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 16,Parameter 1,[0.4031271]
Layer 16,Parameter 2,[[-0.68602014]]
Layer 16,Parameter 3,[-0.6740458]
Layer 17,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 17,Parameter 1,[0.4031271]
Layer 17,Parameter 2,[[-0.68602014]]
Layer 17,Parameter 3,[-0.6740458]
Layer 18,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 18,Parameter 1,[0.4031271]
Layer 18,Parameter 2,[[-0.68602014]]
Layer 18,Parameter 3,[-0.6740458]
Layer 19,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 19,Parameter 1,[0.4031271]
Layer 19,Parameter 2,[[-0.68602014]]
Layer 19,Parameter 3,[-0.6740458]
Layer 20,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 20,Parameter 1,[0.4031271]
Layer 20,Parameter 2,[[-0.68602014]]
Layer 20,Parameter 3,[-0.6740458]
Layer 21,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 21,Parameter 1,[0.4031271]
Layer 21,Parameter 2,[[-0.68602014]]
Layer 21,Parameter 3,[-0.6740458]
Layer 22,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 22,Parameter 1,[0.4031271]
Layer 22,Parameter 2,[[-0.68602014]]
Layer 22,Parameter 3,[-0.6740458]
Layer 23,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 23,Parameter 1,[0.4031271]
Layer 23,Parameter 2,[[-0.68602014]]
Layer 23,Parameter 3,[-0.6740458]
Layer 24,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 24,Parameter 1,[0.4031271]
Layer 24,Parameter 2,[[-0.68602014]]
Layer 24,Parameter 3,[-0.6740458]
Layer 25,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 25,Parameter 1,[0.4031271]
Layer 25,Parameter 2,[[-0.68602014]]
Layer 25,Parameter 3,[-0.6740458]
Layer 26,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 26,Parameter 1,[0.4031271]
Layer 26,Parameter 2,[[-0.68602014]]
Layer 26,Parameter 3,[-0.6740458]
Layer 27,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 27,Parameter 1,[0.4031271]
Layer 27,Parameter 2,[[-0.68602014]]
Layer 27,Parameter 3,[-0.6740458]
Layer 28,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 28,Parameter 1,[0.4031271]
Layer 28,Parameter 2,[[-0.68602014]]
Layer 28,Parameter 3,[-0.6740458]
Layer 29,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 29,Parameter 1,[0.4031271]
Layer 29,Parameter 2,[[-0.68602014]]
Layer 29,Parameter 3,[-0.6740458]
Layer 30,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 30,Parameter 1,[0.4031271]
Layer 30,Parameter 2,[[-0.68602014]]
Layer 30,Parameter 3,[-0.6740458]
Layer 31,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 31,Parameter 1,[0.4031271]
Layer 31,Parameter 2,[[-0.68602014]]
Layer 31,Parameter 3,[-0.6740458]
Layer 32,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 32,Parameter 1,[0.4031271]
Layer 32,Parameter 2,[[-0.68602014]]
Layer 32,Parameter 3,[-0.6740458]
Layer 33,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 33,Parameter 1,[0.4031271]
Layer 33,Parameter 2,[[-0.68602014]]
Layer 33,Parameter 3,[-0.6740458]
Layer 34,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 34,Parameter 1,[0.4031271]
Layer 34,Parameter 2,[[-0.68602014]]
Layer 34,Parameter 3,[-0.6740458]
Layer 35,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 35,Parameter 1,[0.4031271]
Layer 35,Parameter 2,[[-0.68602014]]
Layer 35,Parameter 3,[-0.6740458]
Layer 36,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 36,Parameter 1,[0.4031271]
Layer 36,Parameter 2,[[-0.68602014]]
Layer 36,Parameter 3,[-0.6740458]
Layer 37,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 37,Parameter 1,[0.4031271]
Layer 37,Parameter 2,[[-0.68602014]]
Layer 37,Parameter 3,[-0.6740458]
Layer 38,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 38,Parameter 1,[0.4031271]
Layer 38,Parameter 2,[[-0.68602014]]
Layer 38,Parameter 3,[-0.6740458]
Layer 39,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 39,Parameter 1,[0.4031271]
Layer 39,Parameter 2,[[-0.68602014]]
Layer 39,Parameter 3,[-0.6740458]
Layer 40,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 40,Parameter 1,[0.4031271]
Layer 40,Parameter 2,[[-0.68602014]]
Layer 40,Parameter 3,[-0.6740458]
Layer 41,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 41,Parameter 1,[0.4031271]
Layer 41,Parameter 2,[[-0.68602014]]
Layer 41,Parameter 3,[-0.6740458]
Layer 42,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 42,Parameter 1,[0.4031271]
Layer 42,Parameter 2,[[-0.68602014]]
Layer 42,Parameter 3,[-0.6740458]
Layer 43,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 43,Parameter 1,[0.4031271]
Layer 43,Parameter 2,[[-0.68602014]]
Layer 43,Parameter 3,[-0.6740458]
Layer 44,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 44,Parameter 1,[0.4031271]
Layer 44,Parameter 2,[[-0.68602014]]
Layer 44,Parameter 3,[-0.6740458]
Layer 45,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 45,Parameter 1,[0.4031271]
Layer 45,Parameter 2,[[-0.68602014]]
Layer 45,Parameter 3,[-0.6740458]
Layer 46,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 46,Parameter 1,[0.4031271]
Layer 46,Parameter 2,[[-0.68602014]]
Layer 46,Parameter 3,[-0.6740458]
Layer 47,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 47,Parameter 1,[0.4031271]
Layer 47,Parameter 2,[[-0.68602014]]
Layer 47,Parameter 3,[-0.6740458]
Layer 48,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 48,Parameter 1,[0.4031271]
Layer 48,Parameter 2,[[-0.68602014]]
Layer 48,Parameter 3,[-0.6740458]
Layer 49,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 49,Parameter 1,[0.4031271]
Layer 49,Parameter 2,[[-0.68602014]]
Layer 49,Parameter 3,[-0.6740458]
Layer 50,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 50,Parameter 1,[0.4031271]
Layer 50,Parameter 2,[[-0.68602014]]
Layer 50,Parameter 3,[-0.6740458]
Layer 51,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 51,Parameter 1,[0.4031271]
Layer 51,Parameter 2,[[-0.68602014]]
Layer 51,Parameter 3,[-0.6740458]
Layer 52,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 52,Parameter 1,[0.4031271]
Layer 52,Parameter 2,[[-0.68602014]]
Layer 52,Parameter 3,[-0.6740458]
Layer 53,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 53,Parameter 1,[0.4031271]
Layer 53,Parameter 2,[[-0.68602014]]
Layer 53,Parameter 3,[-0.6740458]
Layer 54,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 54,Parameter 1,[0.4031271]
Layer 54,Parameter 2,[[-0.68602014]]
Layer 54,Parameter 3,[-0.6740458]
Layer 55,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 55,Parameter 1,[0.4031271]
Layer 55,Parameter 2,[[-0.68602014]]
Layer 55,Parameter 3,[-0.6740458]
Layer 56,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 56,Parameter 1,[0.4031271]
Layer 56,Parameter 2,[[-0.68602014]]
Layer 56,Parameter 3,[-0.6740458]
Layer 57,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 57,Parameter 1,[0.4031271]
Layer 57,Parameter 2,[[-0.68602014]]
Layer 57,Parameter 3,[-0.6740458]
Layer 58,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 58,Parameter 1,[0.4031271]
Layer 58,Parameter 2,[[-0.68602014]]
Layer 58,Parameter 3,[-0.6740458]
Layer 59,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 59,Parameter 1,[0.4031271]
Layer 59,Parameter 2,[[-0.68602014]]
Layer 59,Parameter 3,[-0.6740458]
Layer 60,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 60,Parameter 1,[0.4031271]
Layer 60,Parameter 2,[[-0.68602014]]
Layer 60,Parameter 3,[-0.6740458]
Layer 61,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 61,Parameter 1,[0.4031271]
Layer 61,Parameter 2,[[-0.68602014]]
Layer 61,Parameter 3,[-0.6740458]
Layer 62,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 62,Parameter 1,[0.4031271]
Layer 62,Parameter 2,[[-0.68602014]]
Layer 62,Parameter 3,[-0.6740458]
Layer 63,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 63,Parameter 1,[0.4031271]
Layer 63,Parameter 2,[[-0.68602014]]
Layer 63,Parameter 3,[-0.6740458]
Layer 64,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 64,Parameter 1,[0.4031271]
Layer 64,Parameter 2,[[-0.68602014]]
Layer 64,Parameter 3,[-0.6740458]
Layer 65,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 65,Parameter 1,[0.4031271]
Layer 65,Parameter 2,[[-0.68602014]]
Layer 65,Parameter 3,[-0.6740458]
Layer 66,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 66,Parameter 1,[0.4031271]
Layer 66,Parameter 2,[[-0.68602014]]
Layer 66,Parameter 3,[-0.6740458]
Layer 67,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 67,Parameter 1,[0.4031271]
Layer 67,Parameter 2,[[-0.68602014]]
Layer 67,Parameter 3,[-0.6740458]
Layer 68,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 68,Parameter 1,[0.4031271]
Layer 68,Parameter 2,[[-0.68602014]]
Layer 68,Parameter 3,[-0.6740458]
Layer 69,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 69,Parameter 1,[0.4031271]
Layer 69,Parameter 2,[[-0.68602014]]
Layer 69,Parameter 3,[-0.6740458]
Layer 70,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 70,Parameter 1,[0.4031271]
Layer 70,Parameter 2,[[-0.68602014]]
Layer 70,Parameter 3,[-0.6740458]
Layer 71,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 71,Parameter 1,[0.4031271]
Layer 71,Parameter 2,[[-0.68602014]]
Layer 71,Parameter 3,[-0.6740458]
Layer 72,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 72,Parameter 1,[0.4031271]
Layer 72,Parameter 2,[[-0.68602014]]
Layer 72,Parameter 3,[-0.6740458]
Layer 73,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 73,Parameter 1,[0.4031271]
Layer 73,Parameter 2,[[-0.68602014]]
Layer 73,Parameter 3,[-0.6740458]
Layer 74,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 74,Parameter 1,[0.4031271]
Layer 74,Parameter 2,[[-0.68602014]]
Layer 74,Parameter 3,[-0.6740458]
Layer 75,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 75,Parameter 1,[0.4031271]
Layer 75,Parameter 2,[[-0.68602014]]
Layer 75,Parameter 3,[-0.6740458]
Layer 76,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 76,Parameter 1,[0.4031271]
Layer 76,Parameter 2,[[-0.68602014]]
Layer 76,Parameter 3,[-0.6740458]
Layer 77,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 77,Parameter 1,[0.4031271]
Layer 77,Parameter 2,[[-0.68602014]]
Layer 77,Parameter 3,[-0.6740458]
Layer 78,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 78,Parameter 1,[0.4031271]
Layer 78,Parameter 2,[[-0.68602014]]
Layer 78,Parameter 3,[-0.6740458]
Layer 79,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 79,Parameter 1,[0.4031271]
Layer 79,Parameter 2,[[-0.68602014]]
Layer 79,Parameter 3,[-0.6740458]
Layer 80,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 80,Parameter 1,[0.4031271]
Layer 80,Parameter 2,[[-0.68602014]]
Layer 80,Parameter 3,[-0.6740458]
Layer 81,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 81,Parameter 1,[0.4031271]
Layer 81,Parameter 2,[[-0.68602014]]
Layer 81,Parameter 3,[-0.6740458]
Layer 82,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 82,Parameter 1,[0.4031271]
Layer 82,Parameter 2,[[-0.68602014]]
Layer 82,Parameter 3,[-0.6740458]
Layer 83,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 83,Parameter 1,[0.4031271]
Layer 83,Parameter 2,[[-0.68602014]]
Layer 83,Parameter 3,[-0.6740458]
Layer 84,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 84,Parameter 1,[0.4031271]
Layer 84,Parameter 2,[[-0.68602014]]
Layer 84,Parameter 3,[-0.6740458]
Layer 85,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 85,Parameter 1,[0.4031271]
Layer 85,Parameter 2,[[-0.68602014]]
Layer 85,Parameter 3,[-0.6740458]
Layer 86,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 86,Parameter 1,[0.4031271]
Layer 86,Parameter 2,[[-0.68602014]]
Layer 86,Parameter 3,[-0.6740458]
Layer 87,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 87,Parameter 1,[0.4031271]
Layer 87,Parameter 2,[[-0.68602014]]
Layer 87,Parameter 3,[-0.6740458]
Layer 88,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 88,Parameter 1,[0.4031271]
Layer 88,Parameter 2,[[-0.68602014]]
Layer 88,Parameter 3,[-0.6740458]
Layer 89,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 89,Parameter 1,[0.4031271]
Layer 89,Parameter 2,[[-0.68602014]]
Layer 89,Parameter 3,[-0.6740458]
Layer 90,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 90,Parameter 1,[0.4031271]
Layer 90,Parameter 2,[[-0.68602014]]
Layer 90,Parameter 3,[-0.6740458]
Layer 91,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 91,Parameter 1,[0.4031271]
Layer 91,Parameter 2,[[-0.68602014]]
Layer 91,Parameter 3,[-0.6740458]
Layer 92,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 92,Parameter 1,[0.4031271]
Layer 92,Parameter 2,[[-0.68602014]]
Layer 92,Parameter 3,[-0.6740458]
Layer 93,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 93,Parameter 1,[0.4031271]
Layer 93,Parameter 2,[[-0.68602014]]
Layer 93,Parameter 3,[-0.6740458]
Layer 94,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 94,Parameter 1,[0.4031271]
Layer 94,Parameter 2,[[-0.68602014]]
Layer 94,Parameter 3,[-0.6740458]
Layer 95,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 95,Parameter 1,[0.4031271]
Layer 95,Parameter 2,[[-0.68602014]]
Layer 95,Parameter 3,[-0.6740458]
Layer 96,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 96,Parameter 1,[0.4031271]
Layer 96,Parameter 2,[[-0.68602014]]
Layer 96,Parameter 3,[-0.6740458]
Layer 97,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 97,Parameter 1,[0.4031271]
Layer 97,Parameter 2,[[-0.68602014]]
Layer 97,Parameter 3,[-0.6740458]
Layer 98,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 98,Parameter 1,[0.4031271]
Layer 98,Parameter 2,[[-0.68602014]]
Layer 98,Parameter 3,[-0.6740458]
Layer 99,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 99,Parameter 1,[0.4031271]
Layer 99,Parameter 2,[[-0.68602014]]
Layer 99,Parameter 3,[-0.6740458]
Layer 100,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 100,Parameter 1,[0.4031271]
Layer 100,Parameter 2,[[-0.68602014]]
Layer 100,Parameter 3,[-0.6740458]
Layer 101,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 101,Parameter 1,[0.4031271]
Layer 101,Parameter 2,[[-0.68602014]]
Layer 101,Parameter 3,[-0.6740458]
Layer 102,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 102,Parameter 1,[0.4031271]
Layer 102,Parameter 2,[[-0.68602014]]
Layer 102,Parameter 3,[-0.6740458]
Layer 103,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 103,Parameter 1,[0.4031271]
Layer 103,Parameter 2,[[-0.68602014]]
Layer 103,Parameter 3,[-0.6740458]
Layer 104,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 104,Parameter 1,[0.4031271]
Layer 104,Parameter 2,[[-0.68602014]]
Layer 104,Parameter 3,[-0.6740458]
Layer 105,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 105,Parameter 1,[0.4031271]
Layer 105,Parameter 2,[[-0.68602014]]
Layer 105,Parameter 3,[-0.6740458]
Layer 106,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 106,Parameter 1,[0.4031271]
Layer 106,Parameter 2,[[-0.68602014]]
Layer 106,Parameter 3,[-0.6740458]
Layer 107,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 107,Parameter 1,[0.4031271]
Layer 107,Parameter 2,[[-0.68602014]]
Layer 107,Parameter 3,[-0.6740458]
Layer 108,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 108,Parameter 1,[0.4031271]
Layer 108,Parameter 2,[[-0.68602014]]
Layer 108,Parameter 3,[-0.6740458]
Layer 109,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 109,Parameter 1,[0.4031271]
Layer 109,Parameter 2,[[-0.68602014]]
Layer 109,Parameter 3,[-0.6740458]
Layer 110,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 110,Parameter 1,[0.4031271]
Layer 110,Parameter 2,[[-0.68602014]]
Layer 110,Parameter 3,[-0.6740458]
Layer 111,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 111,Parameter 1,[0.4031271]
Layer 111,Parameter 2,[[-0.68602014]]
Layer 111,Parameter 3,[-0.6740458]
Layer 112,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 112,Parameter 1,[0.4031271]
Layer 112,Parameter 2,[[-0.68602014]]
Layer 112,Parameter 3,[-0.6740458]
Layer 113,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 113,Parameter 1,[0.4031271]
Layer 113,Parameter 2,[[-0.68602014]]
Layer 113,Parameter 3,[-0.6740458]
Layer 114,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 114,Parameter 1,[0.4031271]
Layer 114,Parameter 2,[[-0.68602014]]
Layer 114,Parameter 3,[-0.6740458]
Layer 115,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 115,Parameter 1,[0.4031271]
Layer 115,Parameter 2,[[-0.68602014]]
Layer 115,Parameter 3,[-0.6740458]
Layer 116,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 116,Parameter 1,[0.4031271]
Layer 116,Parameter 2,[[-0.68602014]]
Layer 116,Parameter 3,[-0.6740458]
Layer 117,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 117,Parameter 1,[0.4031271]
Layer 117,Parameter 2,[[-0.68602014]]
Layer 117,Parameter 3,[-0.6740458]
Layer 118,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 118,Parameter 1,[0.4031271]
Layer 118,Parameter 2,[[-0.68602014]]
Layer 118,Parameter 3,[-0.6740458]
Layer 119,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 119,Parameter 1,[0.4031271]
Layer 119,Parameter 2,[[-0.68602014]]
Layer 119,Parameter 3,[-0.6740458]
Layer 120,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 120,Parameter 1,[0.4031271]
Layer 120,Parameter 2,[[-0.68602014]]
Layer 120,Parameter 3,[-0.6740458]
Layer 121,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 121,Parameter 1,[0.4031271]
Layer 121,Parameter 2,[[-0.68602014]]
Layer 121,Parameter 3,[-0.6740458]
Layer 122,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 122,Parameter 1,[0.4031271]
Layer 122,Parameter 2,[[-0.68602014]]
Layer 122,Parameter 3,[-0.6740458]
Layer 123,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 123,Parameter 1,[0.4031271]
Layer 123,Parameter 2,[[-0.68602014]]
Layer 123,Parameter 3,[-0.6740458]
Layer 124,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 124,Parameter 1,[0.4031271]
Layer 124,Parameter 2,[[-0.68602014]]
Layer 124,Parameter 3,[-0.6740458]
Layer 125,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 125,Parameter 1,[0.4031271]
Layer 125,Parameter 2,[[-0.68602014]]
Layer 125,Parameter 3,[-0.6740458]
Layer 126,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 126,Parameter 1,[0.4031271]
Layer 126,Parameter 2,[[-0.68602014]]
Layer 126,Parameter 3,[-0.6740458]
Layer 127,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 127,Parameter 1,[0.4031271]
Layer 127,Parameter 2,[[-0.68602014]]
Layer 127,Parameter 3,[-0.6740458]
Layer 128,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 128,Parameter 1,[0.4031271]
Layer 128,Parameter 2,[[-0.68602014]]
Layer 128,Parameter 3,[-0.6740458]
Layer 129,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 129,Parameter 1,[0.4031271]
Layer 129,Parameter 2,[[-0.68602014]]
Layer 129,Parameter 3,[-0.6740458]
Layer 130,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 130,Parameter 1,[0.4031271]
Layer 130,Parameter 2,[[-0.68602014]]
Layer 130,Parameter 3,[-0.6740458]
Layer 131,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 131,Parameter 1,[0.4031271]
Layer 131,Parameter 2,[[-0.68602014]]
Layer 131,Parameter 3,[-0.6740458]
Layer 132,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 132,Parameter 1,[0.4031271]
Layer 132,Parameter 2,[[-0.68602014]]
Layer 132,Parameter 3,[-0.6740458]
Layer 133,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 133,Parameter 1,[0.4031271]
Layer 133,Parameter 2,[[-0.68602014]]
Layer 133,Parameter 3,[-0.6740458]
Layer 134,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 134,Parameter 1,[0.4031271]
Layer 134,Parameter 2,[[-0.68602014]]
Layer 134,Parameter 3,[-0.6740458]
Layer 135,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 135,Parameter 1,[0.4031271]
Layer 135,Parameter 2,[[-0.68602014]]
Layer 135,Parameter 3,[-0.6740458]
Layer 136,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 136,Parameter 1,[0.4031271]
Layer 136,Parameter 2,[[-0.68602014]]
Layer 136,Parameter 3,[-0.6740458]
Layer 137,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 137,Parameter 1,[0.4031271]
Layer 137,Parameter 2,[[-0.68602014]]
Layer 137,Parameter 3,[-0.6740458]
Layer 138,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 138,Parameter 1,[0.4031271]
Layer 138,Parameter 2,[[-0.68602014]]
Layer 138,Parameter 3,[-0.6740458]
Layer 139,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 139,Parameter 1,[0.4031271]
Layer 139,Parameter 2,[[-0.68602014]]
Layer 139,Parameter 3,[-0.6740458]
Layer 140,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 140,Parameter 1,[0.4031271]
Layer 140,Parameter 2,[[-0.68602014]]
Layer 140,Parameter 3,[-0.6740458]
