Layer,Parameter,Weight
Layer 2054,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2054,Parameter 1,[0.4031271]
Layer 2054,Parameter 2,[[-0.68602014]]
Layer 2054,Parameter 3,[-0.6740458]
Layer 2055,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2055,Parameter 1,[0.4031271]
Layer 2055,Parameter 2,[[-0.68602014]]
Layer 2055,Parameter 3,[-0.6740458]
Layer 2056,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2056,Parameter 1,[0.4031271]
Layer 2056,Parameter 2,[[-0.68602014]]
Layer 2056,Parameter 3,[-0.6740458]
Layer 2057,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2057,Parameter 1,[0.4031271]
Layer 2057,Parameter 2,[[-0.68602014]]
Layer 2057,Parameter 3,[-0.6740458]
Layer 2058,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2058,Parameter 1,[0.4031271]
Layer 2058,Parameter 2,[[-0.68602014]]
Layer 2058,Parameter 3,[-0.6740458]
Layer 2059,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2059,Parameter 1,[0.4031271]
Layer 2059,Parameter 2,[[-0.68602014]]
Layer 2059,Parameter 3,[-0.6740458]
Layer 2060,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2060,Parameter 1,[0.4031271]
Layer 2060,Parameter 2,[[-0.68602014]]
Layer 2060,Parameter 3,[-0.6740458]
Layer 2061,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2061,Parameter 1,[0.4031271]
Layer 2061,Parameter 2,[[-0.68602014]]
Layer 2061,Parameter 3,[-0.6740458]
Layer 2062,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2062,Parameter 1,[0.4031271]
Layer 2062,Parameter 2,[[-0.68602014]]
Layer 2062,Parameter 3,[-0.6740458]
Layer 2063,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2063,Parameter 1,[0.4031271]
Layer 2063,Parameter 2,[[-0.68602014]]
Layer 2063,Parameter 3,[-0.6740458]
Layer 2064,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2064,Parameter 1,[0.4031271]
Layer 2064,Parameter 2,[[-0.68602014]]
Layer 2064,Parameter 3,[-0.6740458]
Layer 2065,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2065,Parameter 1,[0.4031271]
Layer 2065,Parameter 2,[[-0.68602014]]
Layer 2065,Parameter 3,[-0.6740458]
Layer 2066,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2066,Parameter 1,[0.4031271]
Layer 2066,Parameter 2,[[-0.68602014]]
Layer 2066,Parameter 3,[-0.6740458]
Layer 2067,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2067,Parameter 1,[0.4031271]
Layer 2067,Parameter 2,[[-0.68602014]]
Layer 2067,Parameter 3,[-0.6740458]
Layer 2068,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2068,Parameter 1,[0.4031271]
Layer 2068,Parameter 2,[[-0.68602014]]
Layer 2068,Parameter 3,[-0.6740458]
Layer 2069,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2069,Parameter 1,[0.4031271]
Layer 2069,Parameter 2,[[-0.68602014]]
Layer 2069,Parameter 3,[-0.6740458]
Layer 2070,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2070,Parameter 1,[0.4031271]
Layer 2070,Parameter 2,[[-0.68602014]]
Layer 2070,Parameter 3,[-0.6740458]
Layer 2071,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2071,Parameter 1,[0.4031271]
Layer 2071,Parameter 2,[[-0.68602014]]
Layer 2071,Parameter 3,[-0.6740458]
Layer 2072,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2072,Parameter 1,[0.4031271]
Layer 2072,Parameter 2,[[-0.68602014]]
Layer 2072,Parameter 3,[-0.6740458]
Layer 2073,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2073,Parameter 1,[0.4031271]
Layer 2073,Parameter 2,[[-0.68602014]]
Layer 2073,Parameter 3,[-0.6740458]
Layer 2074,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2074,Parameter 1,[0.4031271]
Layer 2074,Parameter 2,[[-0.68602014]]
Layer 2074,Parameter 3,[-0.6740458]
Layer 2075,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2075,Parameter 1,[0.4031271]
Layer 2075,Parameter 2,[[-0.68602014]]
Layer 2075,Parameter 3,[-0.6740458]
Layer 2076,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2076,Parameter 1,[0.4031271]
Layer 2076,Parameter 2,[[-0.68602014]]
Layer 2076,Parameter 3,[-0.6740458]
Layer 2077,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2077,Parameter 1,[0.4031271]
Layer 2077,Parameter 2,[[-0.68602014]]
Layer 2077,Parameter 3,[-0.6740458]
Layer 2078,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2078,Parameter 1,[0.4031271]
Layer 2078,Parameter 2,[[-0.68602014]]
Layer 2078,Parameter 3,[-0.6740458]
Layer 2079,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2079,Parameter 1,[0.4031271]
Layer 2079,Parameter 2,[[-0.68602014]]
Layer 2079,Parameter 3,[-0.6740458]
Layer 2080,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2080,Parameter 1,[0.4031271]
Layer 2080,Parameter 2,[[-0.68602014]]
Layer 2080,Parameter 3,[-0.6740458]
Layer 2081,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2081,Parameter 1,[0.4031271]
Layer 2081,Parameter 2,[[-0.68602014]]
Layer 2081,Parameter 3,[-0.6740458]
Layer 2082,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2082,Parameter 1,[0.4031271]
Layer 2082,Parameter 2,[[-0.68602014]]
Layer 2082,Parameter 3,[-0.6740458]
Layer 2083,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2083,Parameter 1,[0.4031271]
Layer 2083,Parameter 2,[[-0.68602014]]
Layer 2083,Parameter 3,[-0.6740458]
Layer 2084,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2084,Parameter 1,[0.4031271]
Layer 2084,Parameter 2,[[-0.68602014]]
Layer 2084,Parameter 3,[-0.6740458]
Layer 2085,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2085,Parameter 1,[0.4031271]
Layer 2085,Parameter 2,[[-0.68602014]]
Layer 2085,Parameter 3,[-0.6740458]
Layer 2086,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2086,Parameter 1,[0.4031271]
Layer 2086,Parameter 2,[[-0.68602014]]
Layer 2086,Parameter 3,[-0.6740458]
Layer 2087,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2087,Parameter 1,[0.4031271]
Layer 2087,Parameter 2,[[-0.68602014]]
Layer 2087,Parameter 3,[-0.6740458]
Layer 2088,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2088,Parameter 1,[0.4031271]
Layer 2088,Parameter 2,[[-0.68602014]]
Layer 2088,Parameter 3,[-0.6740458]
Layer 2089,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2089,Parameter 1,[0.4031271]
Layer 2089,Parameter 2,[[-0.68602014]]
Layer 2089,Parameter 3,[-0.6740458]
Layer 2090,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2090,Parameter 1,[0.4031271]
Layer 2090,Parameter 2,[[-0.68602014]]
Layer 2090,Parameter 3,[-0.6740458]
Layer 2091,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2091,Parameter 1,[0.4031271]
Layer 2091,Parameter 2,[[-0.68602014]]
Layer 2091,Parameter 3,[-0.6740458]
Layer 2092,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2092,Parameter 1,[0.4031271]
Layer 2092,Parameter 2,[[-0.68602014]]
Layer 2092,Parameter 3,[-0.6740458]
Layer 2093,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2093,Parameter 1,[0.4031271]
Layer 2093,Parameter 2,[[-0.68602014]]
Layer 2093,Parameter 3,[-0.6740458]
Layer 2094,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2094,Parameter 1,[0.4031271]
Layer 2094,Parameter 2,[[-0.68602014]]
Layer 2094,Parameter 3,[-0.6740458]
Layer 2095,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2095,Parameter 1,[0.4031271]
Layer 2095,Parameter 2,[[-0.68602014]]
Layer 2095,Parameter 3,[-0.6740458]
Layer 2096,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2096,Parameter 1,[0.4031271]
Layer 2096,Parameter 2,[[-0.68602014]]
Layer 2096,Parameter 3,[-0.6740458]
Layer 2097,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2097,Parameter 1,[0.4031271]
Layer 2097,Parameter 2,[[-0.68602014]]
Layer 2097,Parameter 3,[-0.6740458]
Layer 2098,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2098,Parameter 1,[0.4031271]
Layer 2098,Parameter 2,[[-0.68602014]]
Layer 2098,Parameter 3,[-0.6740458]
Layer 2099,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2099,Parameter 1,[0.4031271]
Layer 2099,Parameter 2,[[-0.68602014]]
Layer 2099,Parameter 3,[-0.6740458]
Layer 2100,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2100,Parameter 1,[0.4031271]
Layer 2100,Parameter 2,[[-0.68602014]]
Layer 2100,Parameter 3,[-0.6740458]
Layer 2101,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2101,Parameter 1,[0.4031271]
Layer 2101,Parameter 2,[[-0.68602014]]
Layer 2101,Parameter 3,[-0.6740458]
Layer 2102,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2102,Parameter 1,[0.4031271]
Layer 2102,Parameter 2,[[-0.68602014]]
Layer 2102,Parameter 3,[-0.6740458]
Layer 2103,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2103,Parameter 1,[0.4031271]
Layer 2103,Parameter 2,[[-0.68602014]]
Layer 2103,Parameter 3,[-0.6740458]
Layer 2104,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2104,Parameter 1,[0.4031271]
Layer 2104,Parameter 2,[[-0.68602014]]
Layer 2104,Parameter 3,[-0.6740458]
Layer 2105,Parameter 0,[[-0.01247968  0.0126685 ]]
Layer 2105,Parameter 1,[0.4031271]
Layer 2105,Parameter 2,[[-0.68602014]]
Layer 2105,Parameter 3,[-0.6740458]
Layer 2106,Parameter 0,[[-0.01247968  0.0126685 ]]
